ID,Title,Difficulty,Solved?,推荐指数,击败,Tags
621,621. Task Scheduler,Medium,No,⭐⭐⭐⭐,,
918,918. Maximum Sum Circular Subarray,Medium,No,⭐⭐⭐⭐⭐,80.82,"Array, DP"
980,980. Unique Paths III,Hard,No,⭐⭐⭐⭐,90.15,"Backtracking, DFS"
1456,1456. Maximum Number of Vowels in a Substring of Given Length,Medium,Yes,⭐⭐⭐,89.13,"Sliding Window, String"
456,456. 132 Pattern,Medium,Yes,⭐⭐⭐⭐,98.55,Stack
101,101. Symmetric Tree,Easy,Yes,⭐⭐,93.75,"BFS, DFS, Tree"
102,102. Binary Tree Level Order Traversal,Medium,Yes,⭐⭐,95.13,"BFS, Tree"
104,104. Maximum Depth of Binary Tree,Easy,Yes,⭐⭐,98.2,"DFS, Tree"
105,105. Construct Binary Tree from Preorder and Inorder Traversal,Medium,Yes,⭐⭐⭐,37.7,"Array, DFS, Tree"
106,106. Construct Binary Tree from Inorder and Postorder Traversal,Medium,Yes,⭐⭐,25.5,"Array, DFS, Tree"
107,107. Binary Tree Level Order Traversal II,Easy,Yes,⭐⭐,83.74,"BFS, Tree"
108,108. Convert Sorted Array to Binary Search Tree,Easy,Yes,⭐⭐,89.76,"DFS, Tree"
110,110. Balanced Binary Tree,Easy,Yes,⭐⭐⭐,83.22,"DFS, Tree"
111,111. Minimum Depth of Binary Tree,Easy,Yes,⭐⭐⭐,37.09,"BFS, DFS, Tree"
112,112. Path Sum,Easy,Yes,⭐⭐⭐,85.33,"DFS, Tree"
113,113. Path Sum II,Medium,Yes,⭐⭐⭐,91.8,"DFS, Tree"
114,114. Flatten Binary Tree to Linked List,Medium,Yes,⭐⭐⭐,98.07,"DFS, Tree"
116,116. Populating Next Right Pointers in Each Node,Medium,Yes,⭐⭐⭐,94.36,"DFS, Tree"
117,117. Populating Next Right Pointers in Each Node II,Medium,Yes,⭐⭐⭐⭐,75.65,"DFS, Tree"
119,119. Pascal's Triangle II,Easy,Yes,⭐⭐,52.16,Array
120,120. Triangle,Medium,Yes,⭐⭐⭐,98.85,"Array, DP"
146,146. LRU Cache,Medium,Yes,⭐⭐⭐⭐,39.4,Design
149,149. Max Points on a Line,Hard,Yes,⭐⭐⭐⭐,81.4,"Hash Table, Math"
125,125. Valid Palindrome,Easy,Yes,⭐⭐,66.96,"String, Two Pointers"
136,136. Single Number,Easy,Yes,⭐⭐⭐,53.3,"Bit Manipulation, Hash Table"
157,157. Read N Characters Given Read4,Easy,Yes,,,
168,168. Excel Sheet Column Title,Easy,Yes,⭐⭐⭐,70.7,Math
169,169. Majority Element,Easy,Yes,⭐⭐⭐⭐,96.52,"Array, Bit Manipulation, Divide and Conquer"
170,170. Two Sum III - Data structure design,Easy,Yes,,,
171,171. Excel Sheet Column Number,Easy,Yes,⭐⭐,87.04,Math
172,172. Factorial Trailing Zeroes,Easy,Yes,⭐⭐⭐,99,Math
175,175. Combine Two Tables,Easy,Yes,⭐⭐,93.47,SQL
176,176. Second Highest Salary,Easy,Yes,⭐⭐,71,SQL
181,181. Employees Earning More Than Their Managers,Easy,Yes,⭐⭐,37.74,SQL
182,182. Duplicate Emails,Easy,Yes,⭐⭐,93.54,SQL
183,183. Customers Who Never Order,Easy,Yes,⭐⭐,26.92,SQL
190,190. Reverse Bits,Easy,Yes,⭐⭐⭐⭐,100,Bit Manipulation
191,191. Number of 1 Bits,Easy,Yes,⭐⭐⭐⭐,100,Bit Manipulation
193,193. Valid Phone Numbers,Easy,Yes,⭐⭐,31,Shell
195,195. Tenth Line,Easy,Yes,⭐⭐,76.05,Shell
196,196. Delete Duplicate Emails,Easy,Yes,⭐⭐,75.77,SQL
197,197. Rising Temperature,Easy,Yes,⭐⭐,68.66,SQL
198,198. House Robber,Easy,Yes,⭐⭐⭐,86.55,DP
199,199. Binary Tree Right Side View,Medium,Yes,⭐⭐⭐,34.77,"BFS, DFS, Tree"
200,200. Number of Islands,Medium,Yes,⭐⭐⭐,46.69,"BFS, DFS, Union Find"
